File generated by Rfunction: Gera.fluxnew.yy.func1 
 TimeStamp at the begining of period
 version 1: Block average, density(WPL) corrections,and flow rotation
 yy jday hhdec(GMT) alfa(deg) beta(deg)  u(m/s) v(m/s) w(m/s)  H(W/m2) LE(W/m2) ustr(m/s)  wco2(mg/m2/s) MOL(m)
2011 186 0 52.9 11.8 1.01 0 0 303.5 -9999.9 -9999.9 0.03 -9999.9 -9999.9
2011 186 0.5 15.5 15.4 0.67 0 0 302.91 -9999.9 -9999.9 0.06 -9999.9 -9999.9
2011 186 1 29 12.1 1.21 0 0 302.12 -9999.9 -9999.9 0.05 -9999.9 -9999.9
2011 186 1.5 27.2 12.9 1.6 0 0 301.92 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 186 2 31.6 16.3 1.4 0 0 301.75 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 186 2.5 87.6 15.4 1.19 0 0 301.45 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 186 3 261.5 2.7 2.04 0 0 300.91 -9999.9 -9999.9 0.36 -9999.9 -9999.9
2011 186 3.5 102.7 14.4 1.05 0 0 300.43 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 186 4 82.1 15.8 0.96 0 0 300.26 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 186 4.5 33.9 15.9 1.47 0 0 300.06 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 186 5 8.9 13.8 1.22 0 0 299.81 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 186 5.5 156.8 9.5 1.14 0 0 299.64 -9999.9 -9999.9 0.15 -9999.9 -9999.9
2011 186 6 227.2 1.9 1.31 0 0 299.17 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 186 6.5 215.1 3.4 1 0 0 298.72 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 186 7 110.2 13.2 1.4 0 0 298.28 -9999.9 -9999.9 0.13 -9999.9 -9999.9
2011 186 7.5 135 13 1.51 0 0 297.81 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 186 8 127 10.6 1.41 0 0 297.37 -9999.9 -9999.9 0.09 -9999.9 -9999.9
2011 186 8.5 137.3 9.6 1.47 0 0 297.06 -9999.9 -9999.9 0.12 -9999.9 -9999.9
2011 186 9 143.7 9.5 1.49 0 0 296.76 -9999.9 -9999.9 0.17 -9999.9 -9999.9
2011 186 9.5 170.3 7 1.51 0 0 296.48 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 186 10 168 7 1.39 0 0 296.25 -9999.9 -9999.9 0.19 -9999.9 -9999.9
2011 186 10.5 193 4.6 1.21 0 0 296.59 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 186 11 167.9 2.4 0.66 0 0 297.14 -9999.9 -9999.9 0.21 -9999.9 -9999.9
2011 186 11.5 64.1 15.4 0.78 0 0 297.86 -9999.9 -9999.9 0.16 -9999.9 -9999.9
2011 186 12 139.9 15.5 1.01 0 0 298.82 -9999.9 -9999.9 0.2 -9999.9 -9999.9
2011 186 12.5 210 2.6 0.54 0 0 299.83 -9999.9 -9999.9 0.26 -9999.9 -9999.9
2011 186 13 283.1 21.4 0.74 0 0 300.87 -9999.9 -9999.9 0.27 -9999.9 -9999.9
2011 186 13.5 297.8 8.4 0.82 0 0 301.28 -9999.9 -9999.9 0.13 -9999.9 -9999.9
2011 186 14 226.3 19.7 0.68 0 0 301.95 -9999.9 -9999.9 0.31 -9999.9 -9999.9
2011 186 14.5 150.9 0.3 0.46 0 0 302.38 -9999.9 -9999.9 0.15 -9999.9 -9999.9
