date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2022-08-13 18:14:00,25046,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0813t175226-o25046_v01-2022m0824t093641.nc, 2488, 399,-0.25, 1.91, 0.71,118, 1.35, 0.24, 32,1.96,0.06
2022-08-16 17:16:39,25088,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0816t165506-o25088_v01-2022m0824t120834.nc, 2546, 133,-0.61, 1.73, 0.31,125, 1.21, 0.23, 31,1.62,0.12
2022-08-17 16:57:33,25102,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0817t163559-o25102_v01-2022m0824t111519.nc, 2581,  64,-0.28, 1.69, 0.09,104, 1.52, 0.28, 16,1.73,0.14
2022-08-18 16:38:27,25116,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0818t161652-o25116_v01-2022m0824t132755.nc, 2623,  25,-0.31, 1.67, 0.36,111, 1.35, 0.17, 60,1.68,0.10
2022-08-18 18:19:56,25117,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0818t175821-o25117_v01-2022m0824t132909.nc, 2341, 413,-0.19, 1.47, 0.33,110, 1.31, 0.38,  7,1.77,0.09
2022-08-20 17:41:41,25145,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0820t172007-o25145_v01-2022m0824t144510.nc, 2545, 272,-0.10, 1.69, 0.14,123, 1.50, 0.36, 22,1.51,0.11
2022-08-24 18:06:42,25202,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0824t174508-o25202_v01-2022m0825t200252.nc, 2560, 382,-0.11, 2.71, 0.05,106, 2.66, 0.28, 60,1.51,0.27
2022-08-26 17:28:27,25230,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0826t170653-o25230_v01-2022m0827t204350.nc, 2596, 199,-1.47, 1.71, 0.12,103, 1.63, 0.27,  9,1.65,0.20
2022-08-28 18:31:42,25259,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0828t181007-o25259_v01-2022m0829t222644.nc, 2589, 440,-0.82, 1.43, 0.13, 97, 1.34, 0.17,  4,1.25,0.26
2022-08-29 16:31:04,25272,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0829t160930-o25272_v01-2022m0901t055201.nc, 2712,  12,-0.58, 1.50, 0.08,105, 1.36, 0.20, 60,1.42,0.13
2022-08-29 18:12:33,25273,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0829t175100-o25273_v01-2022m0901t055105.nc, 2594, 399, 0.12, 1.32, 0.07, 79, 1.31, 0.16,  8,1.52,0.14
2022-09-01 17:15:11,25315,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0901t165337-o25315_v01-2022m0902t193229.nc, 2654, 133,-0.57, 1.37, 0.28,113, 1.03, 0.16, 60,1.79,0.08
2022-09-02 16:56:03,25329,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0902t163429-o25329_v01-2022m0904t080206.nc, 2691,  64,-0.97, 1.05, 0.05, 84, 0.98, 0.13, 55,1.67,0.10
2022-09-09 18:05:06,25429,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0909t174331-o25429_v01-2022m0911t002240.nc, 2676, 382,-0.43, 1.67, 0.07,125, 1.57, 0.44, 57,1.56,0.11
2022-09-13 18:30:01,25486,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0913t180828-o25486_v01-2022m0915t122814.nc, 2708, 439, 0.69, 2.00, 0.55,134, 1.31, 0.19, 39,1.42,0.13
2022-09-14 16:29:25,25499,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0914t160750-o25499_v01-2022m0915t213013.nc, 2831,  12,-0.29, 1.68, 0.12,112, 1.54, 0.36, 48,1.26,0.10
2022-09-14 18:10:54,25500,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0914t174919-o25500_v01-2022m0915t205924.nc, 2714, 399,-0.04, 1.93, 0.23,114, 1.92, 0.50,  6,1.42,0.10
2022-09-16 17:32:36,25528,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0916t171102-o25528_v01-2022m0919t132814.nc, 2747, 236, 0.91, 3.41, 0.17, 87, 3.38, 0.27,  3,2.49,0.85
2022-09-17 17:13:29,25542,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0917t165154-o25542_v01-2022m0919t143023.nc, 2776, 133, 0.65, 2.82, 0.03, 84, 2.82, 0.20, 60,1.90,0.43
2022-09-18 16:54:20,25556,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0918t163245-o25556_v01-2022m0919t215134.nc, 2814,  64,-0.53, 2.32, 0.04,105, 2.28, 0.25, 60,1.55,0.22
2022-09-19 16:35:12,25570,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0919t161337-o25570_v01-2022m0921t133157.nc, 2858,  25, 0.52, 1.51, 0.09,103, 1.46, 0.23, 13,1.58,0.17
2022-09-20 17:57:31,25585,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0920t173557-o25585_v01-2022m0922t130112.nc, 2764, 361,-0.22, 1.60, 0.14,124, 1.40, 0.27, 60,1.47,0.10
2022-09-21 17:38:23,25599,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0921t171649-o25599_v01-2022m0924t151231.nc, 2781, 272,-0.53, 1.19, 0.07, 92, 1.15, 0.16, 29,1.46,0.11
